,confirmed_cases,total_dead,recovered
07-04-2020,4827,129,1805
07-03-2020,4705,129,1765
07-02-2020,4606,129,1727
07-01-2020,4472,129,1677
06-30-2020,4363,129,1622
06-29-2020,4237,128,1497
06-28-2020,4149,126,1419
06-27-2020,4025,121,1344
06-26-2020,3907,120,1280
06-25-2020,3739,119,1225
06-24-2020,3519,116,1074
06-23-2020,3292,114,963
06-22-2020,3121,112,905
06-21-2020,2984,111,811
06-20-2020,2813,108,696
06-19-2020,2621,102,653
06-18-2020,2424,97,550
06-17-2020,2223,95,427
06-16-2020,2057,93,373
06-15-2020,1887,91,360
06-14-2020,1783,87,332
06-13-2020,1682,83,311
06-12-2020,1572,81,278
06-11-2020,1439,74,250
06-10-2020,1283,71,142
06-09-2020,1162,61,139
06-08-2020,1104,59,119
06-07-2020,1049,55,108
06-06-2020,947,49,104
06-05-2020,883,43,69
06-04-2020,784,39,65
06-03-2020,745,34,57
06-02-2020,668,31,55
06-01-2020,588,23,27
05-31-2020,530,23,27
05-30-2020,483,20,21
05-29-2020,423,20,21
05-28-2020,346,19,15
05-27-2020,292,16,15
05-26-2020,268,13,15
05-25-2020,262,9,15
05-24-2020,237,6,15
05-23-2020,227,6,7
05-22-2020,200,6,7
05-21-2020,173,5,7
05-20-2020,141,4,7
05-19-2020,131,4,7
05-18-2020,81,4,7
05-17-2020,62,4,7
05-16-2020,40,4,7
05-15-2020,29,3,7
05-14-2020,20,2,7
05-13-2020,15,2,6
05-12-2020,9,1,6
05-11-2020,8,1,6
05-10-2020,8,1,6
05-09-2020,8,1,6
05-08-2020,8,1,6
05-07-2020,8,1,6
05-06-2020,8,1,6
05-05-2020,8,1,6
05-04-2020,8,1,6
05-03-2020,8,1,6
05-02-2020,8,1,6
05-01-2020,8,1,6
04-30-2020,8,1,6
04-29-2020,8,1,6
04-28-2020,7,1,6
04-27-2020,7,1,6
04-26-2020,7,1,6
04-25-2020,7,1,6
04-24-2020,7,1,6
04-23-2020,7,1,6
04-22-2020,7,1,6
04-21-2020,7,1,6
04-20-2020,7,1,6
04-19-2020,7,1,6
04-18-2020,7,1,2
04-17-2020,7,1,2
04-16-2020,7,1,2
04-15-2020,7,1,2
04-14-2020,7,1,2
04-13-2020,7,1,2
04-12-2020,7,1,2
04-11-2020,7,1,2
04-10-2020,7,1,2
04-09-2020,7,1,2
04-08-2020,6,1,2
04-07-2020,6,1,2
04-06-2020,6,1,2
04-05-2020,6,1,2
04-04-2020,6,1,2
04-03-2020,6,1,2
04-02-2020,6,1,2
04-01-2020,6,1,2
03-31-2020,6,1,2
03-30-2020,5,1,2
03-29-2020,5,0,2
03-28-2020,5,0,0
03-27-2020,3,0,0
03-26-2020,3,0,0
03-25-2020,2,0,0
03-24-2020,2,0,0
03-23-2020,2,0,0
03-22-2020,2,0,0
03-21-2020,2,0,0
03-20-2020,2,0,0
03-19-2020,2,0,0
03-18-2020,1,0,0
03-17-2020,1,0,0
03-16-2020,1,0,0
03-15-2020,1,0,0
03-14-2020,1,0,0
03-13-2020,0,0,0
03-12-2020,0,0,0
03-11-2020,0,0,0
03-10-2020,0,0,0
03-09-2020,0,0,0
03-08-2020,0,0,0
03-07-2020,0,0,0
03-06-2020,0,0,0
03-05-2020,0,0,0
03-04-2020,0,0,0
03-03-2020,0,0,0
03-02-2020,0,0,0
03-01-2020,0,0,0
02-29-2020,0,0,0
02-28-2020,0,0,0
02-27-2020,0,0,0
02-26-2020,0,0,0
02-25-2020,0,0,0
02-24-2020,0,0,0
02-23-2020,0,0,0
02-22-2020,0,0,0
02-21-2020,0,0,0
02-20-2020,0,0,0
02-19-2020,0,0,0
02-18-2020,0,0,0
02-17-2020,0,0,0
02-16-2020,0,0,0
02-15-2020,0,0,0
02-14-2020,0,0,0
02-13-2020,0,0,0
02-12-2020,0,0,0
02-11-2020,0,0,0
02-10-2020,0,0,0
02-09-2020,0,0,0
02-08-2020,0,0,0
02-07-2020,0,0,0
02-06-2020,0,0,0
02-05-2020,0,0,0
02-04-2020,0,0,0
02-03-2020,0,0,0
02-02-2020,0,0,0
02-01-2020,0,0,0
01-31-2020,0,0,0
01-30-2020,0,0,0
01-29-2020,0,0,0
01-28-2020,0,0,0
01-27-2020,0,0,0
01-26-2020,0,0,0
01-25-2020,0,0,0
01-24-2020,0,0,0
01-23-2020,0,0,0
01-22-2020,0,0,0
