,confirmed_cases,total_dead,recovered
07-04-2020,1082,68,963
07-03-2020,1082,68,963
07-02-2020,1081,68,959
07-01-2020,1075,67,943
06-30-2020,1075,67,943
06-29-2020,1075,67,939
06-28-2020,1074,67,939
06-27-2020,1062,67,924
06-26-2020,1059,67,919
06-25-2020,1056,67,917
06-24-2020,1051,67,913
06-23-2020,1051,67,913
06-22-2020,1046,67,913
06-21-2020,1036,67,911
06-20-2020,1035,67,911
06-19-2020,1020,67,901
06-18-2020,1020,67,901
06-17-2020,1020,67,893
06-16-2020,1016,66,885
06-15-2020,980,66,885
06-14-2020,980,66,885
06-13-2020,980,66,881
06-12-2020,978,65,881
06-11-2020,974,65,878
06-10-2020,974,65,876
06-09-2020,974,65,871
06-08-2020,973,65,869
06-07-2020,973,65,867
06-06-2020,970,65,867
06-05-2020,966,65,863
06-04-2020,963,65,860
06-03-2020,961,65,857
06-02-2020,960,65,848
06-01-2020,958,65,844
05-31-2020,958,64,839
05-30-2020,956,64,818
05-29-2020,955,64,813
05-28-2020,955,64,803
05-27-2020,952,63,796
05-26-2020,952,63,796
05-25-2020,951,62,786
05-24-2020,945,61,783
05-23-2020,943,61,775
05-22-2020,937,60,764
05-21-2020,924,60,753
05-20-2020,920,58,738
05-19-2020,914,55,734
05-18-2020,909,55,714
05-17-2020,904,54,698
05-16-2020,889,51,689
05-15-2020,885,51,684
05-14-2020,876,50,677
05-13-2020,860,49,658
05-12-2020,854,47,648
05-11-2020,832,46,637
05-10-2020,821,46,624
05-09-2020,815,45,617
05-08-2020,795,44,600
05-07-2020,781,42,586
05-06-2020,770,38,561
05-05-2020,763,38,543
05-04-2020,755,37,534
05-03-2020,750,36,518
05-02-2020,736,35,507
05-01-2020,728,33,478
04-30-2020,719,32,452
04-29-2020,713,32,435
04-28-2020,709,31,403
04-27-2020,701,29,385
04-26-2020,696,29,350
04-25-2020,684,27,325
04-24-2020,681,24,289
04-23-2020,671,24,256
04-22-2020,662,22,193
04-21-2020,657,20,127
04-20-2020,648,20,117
04-19-2020,648,20,117
04-18-2020,639,19,113
04-17-2020,627,18,110
04-16-2020,584,14,90
04-15-2020,584,14,90
04-14-2020,570,14,90
04-13-2020,529,12,75
04-12-2020,529,12,75
04-11-2020,491,11,41
04-10-2020,438,11,41
04-09-2020,410,11,40
04-08-2020,342,11,28
04-07-2020,278,11,26
04-06-2020,253,10,26
04-05-2020,184,10,13
04-04-2020,144,8,0
04-03-2020,120,5,0
04-02-2020,98,5,0
04-01-2020,74,5,0
03-31-2020,27,3,0
03-30-2020,27,3,0
03-29-2020,18,1,0
03-28-2020,10,1,0
03-27-2020,10,1,0
03-26-2020,10,1,0
03-25-2020,7,1,0
03-24-2020,3,0,0
03-23-2020,3,0,0
03-22-2020,2,0,0
03-21-2020,1,0,0
03-20-2020,1,0,0
03-19-2020,0,0,0
03-18-2020,0,0,0
03-17-2020,0,0,0
03-16-2020,0,0,0
03-15-2020,0,0,0
03-14-2020,0,0,0
03-13-2020,0,0,0
03-12-2020,0,0,0
03-11-2020,0,0,0
03-10-2020,0,0,0
03-09-2020,0,0,0
03-08-2020,0,0,0
03-07-2020,0,0,0
03-06-2020,0,0,0
03-05-2020,0,0,0
03-04-2020,0,0,0
03-03-2020,0,0,0
03-02-2020,0,0,0
03-01-2020,0,0,0
02-29-2020,0,0,0
02-28-2020,0,0,0
02-27-2020,0,0,0
02-26-2020,0,0,0
02-25-2020,0,0,0
02-24-2020,0,0,0
02-23-2020,0,0,0
02-22-2020,0,0,0
02-21-2020,0,0,0
02-20-2020,0,0,0
02-19-2020,0,0,0
02-18-2020,0,0,0
02-17-2020,0,0,0
02-16-2020,0,0,0
02-15-2020,0,0,0
02-14-2020,0,0,0
02-13-2020,0,0,0
02-12-2020,0,0,0
02-11-2020,0,0,0
02-10-2020,0,0,0
02-09-2020,0,0,0
02-08-2020,0,0,0
02-07-2020,0,0,0
02-06-2020,0,0,0
02-05-2020,0,0,0
02-04-2020,0,0,0
02-03-2020,0,0,0
02-02-2020,0,0,0
02-01-2020,0,0,0
01-31-2020,0,0,0
01-30-2020,0,0,0
01-29-2020,0,0,0
01-28-2020,0,0,0
01-27-2020,0,0,0
01-26-2020,0,0,0
01-25-2020,0,0,0
01-24-2020,0,0,0
01-23-2020,0,0,0
01-22-2020,0,0,0
