,confirmed_cases,total_dead,recovered
06-19-2020,4428,34,1750
06-18-2020,4340,32,1657
06-17-2020,4229,30,1505
06-16-2020,4114,29,1432
06-15-2020,4033,27,1334
06-14-2020,3463,23,1024
06-13-2020,3463,23,1024
06-12-2020,3463,23,1024
06-11-2020,3463,23,1024
06-10-2020,3375,22,978
06-09-2020,3247,21,938
06-08-2020,3101,21,833
06-07-2020,3101,21,833
06-06-2020,3101,21,833
06-05-2020,3101,21,833
06-04-2020,2955,21,818
06-03-2020,2902,20,801
06-02-2020,2803,20,779
06-01-2020,2655,17,722
05-31-2020,2655,17,722
05-30-2020,2655,17,722
05-29-2020,2613,15,709
05-28-2020,2431,14,668
05-27-2020,2319,14,631
05-26-2020,2238,14,593
05-25-2020,2135,14,562
05-24-2020,1934,12,459
05-23-2020,1934,12,459
05-22-2020,1728,12,402
05-21-2020,1567,12,365
05-20-2020,1567,12,365
05-19-2020,1502,12,318
05-18-2020,1432,11,301
05-17-2020,1320,11,244
05-16-2020,1320,11,244
05-15-2020,1209,10,219
05-14-2020,1104,10,182
05-13-2020,1004,9,152
05-12-2020,863,9,137
05-11-2020,802,9,127
05-10-2020,661,8,110
05-09-2020,661,8,110
05-08-2020,620,8,110
05-07-2020,504,8,110
05-06-2020,397,6,93
05-05-2020,397,6,93
05-04-2020,367,6,93
05-03-2020,335,5,85
05-02-2020,335,5,85
05-01-2020,276,3,67
04-30-2020,276,3,67
04-29-2020,276,3,67
04-28-2020,238,3,53
04-27-2020,211,3,43
04-26-2020,176,3,30
04-25-2020,176,3,30
04-24-2020,172,3,26
04-23-2020,167,2,24
04-22-2020,166,1,24
04-21-2020,156,1,16
04-20-2020,120,1,7
04-19-2020,109,1,7
04-18-2020,108,1,7
04-17-2020,108,1,7
04-16-2020,80,1,4
04-15-2020,80,1,4
04-14-2020,57,1,1
04-13-2020,57,1,1
04-12-2020,49,1,1
04-11-2020,46,1,1
04-10-2020,44,1,1
04-09-2020,44,1,1
04-08-2020,34,1,1
04-07-2020,30,1,1
04-06-2020,24,1,1
04-05-2020,21,1,1
04-04-2020,21,1,1
04-03-2020,21,1,1
04-02-2020,21,1,0
04-01-2020,18,1,0
03-31-2020,16,1,0
03-30-2020,7,1,0
03-29-2020,7,1,0
03-28-2020,7,1,0
03-27-2020,7,1,0
03-26-2020,7,1,0
03-25-2020,6,1,0
03-24-2020,6,1,0
03-23-2020,5,1,0
03-22-2020,5,1,0
03-21-2020,4,1,0
03-20-2020,3,1,0
03-19-2020,1,0,0
03-18-2020,1,0,0
03-17-2020,1,0,0
03-16-2020,1,0,0
03-15-2020,1,0,0
03-14-2020,1,0,0
03-13-2020,0,0,0
03-12-2020,0,0,0
03-11-2020,0,0,0
03-10-2020,0,0,0
03-09-2020,0,0,0
03-08-2020,0,0,0
03-07-2020,0,0,0
03-06-2020,0,0,0
03-05-2020,0,0,0
03-04-2020,0,0,0
03-03-2020,0,0,0
03-02-2020,0,0,0
03-01-2020,0,0,0
02-29-2020,0,0,0
02-28-2020,0,0,0
02-27-2020,0,0,0
02-26-2020,0,0,0
02-25-2020,0,0,0
02-24-2020,0,0,0
02-23-2020,0,0,0
02-22-2020,0,0,0
02-21-2020,0,0,0
02-20-2020,0,0,0
02-19-2020,0,0,0
02-18-2020,0,0,0
02-17-2020,0,0,0
02-16-2020,0,0,0
02-15-2020,0,0,0
02-14-2020,0,0,0
02-13-2020,0,0,0
02-12-2020,0,0,0
02-11-2020,0,0,0
02-10-2020,0,0,0
02-09-2020,0,0,0
02-08-2020,0,0,0
02-07-2020,0,0,0
02-06-2020,0,0,0
02-05-2020,0,0,0
02-04-2020,0,0,0
02-03-2020,0,0,0
02-02-2020,0,0,0
02-01-2020,0,0,0
01-31-2020,0,0,0
01-30-2020,0,0,0
01-29-2020,0,0,0
01-28-2020,0,0,0
01-27-2020,0,0,0
01-26-2020,0,0,0
01-25-2020,0,0,0
01-24-2020,0,0,0
01-23-2020,0,0,0
01-22-2020,0,0,0
