,confirmed_cases,total_dead,recovered
06-05-2020,4123,26,1707
06-04-2020,4054,26,1685
06-03-2020,3935,26,1636
06-02-2020,3779,25,1607
06-01-2020,3569,24,1521
05-31-2020,3354,24,1504
05-30-2020,3194,22,1286
05-29-2020,2914,20,1241
05-28-2020,2914,20,1241
05-27-2020,2697,18,1185
05-26-2020,2468,14,1079
05-25-2020,2468,14,1079
05-24-2020,2270,10,1064
05-23-2020,2270,10,1064
05-22-2020,2270,10,1064
05-21-2020,2047,10,1055
05-20-2020,1828,9,1052
05-19-2020,1618,7,1033
05-18-2020,1518,7,1018
05-17-2020,1401,4,972
05-16-2020,1331,4,950
05-15-2020,1309,4,935
05-14-2020,1284,3,905
05-13-2020,1268,3,900
05-12-2020,1256,3,886
05-11-2020,1227,3,872
05-10-2020,1210,3,847
05-09-2020,1189,3,834
05-08-2020,1135,3,824
05-07-2020,1133,3,799
05-06-2020,1124,3,755
05-05-2020,1120,2,745
05-04-2020,1116,2,713
05-03-2020,1112,2,686
05-02-2020,1112,2,686
05-01-2020,1097,2,672
04-30-2020,1089,2,642
04-29-2020,1077,2,599
04-28-2020,1072,2,498
04-27-2020,1035,2,477
04-26-2020,1023,2,411
04-25-2020,1008,2,373
04-24-2020,999,2,330
04-23-2020,986,2,252
04-22-2020,974,2,183
04-21-2020,945,2,112
04-20-2020,846,2,102
04-19-2020,846,2,102
04-18-2020,732,2,76
04-17-2020,732,2,76
04-16-2020,591,2,73
04-15-2020,435,2,71
04-14-2020,363,2,53
04-13-2020,298,2,41
04-12-2020,214,2,36
04-11-2020,187,2,36
04-10-2020,150,1,36
04-09-2020,135,0,25
04-08-2020,135,0,25
04-07-2020,90,0,9
04-06-2020,90,0,9
04-05-2020,59,0,9
04-04-2020,50,0,8
04-03-2020,49,0,8
04-02-2020,40,0,0
04-01-2020,33,0,0
03-31-2020,30,0,0
03-30-2020,18,0,0
03-29-2020,18,0,0
03-28-2020,14,0,0
03-27-2020,12,0,0
03-26-2020,11,0,0
03-25-2020,11,0,0
03-24-2020,3,0,0
03-23-2020,3,0,0
03-22-2020,1,0,0
03-21-2020,1,0,0
03-20-2020,1,0,0
03-19-2020,1,0,0
03-18-2020,1,0,0
03-17-2020,0,0,0
03-16-2020,0,0,0
03-15-2020,0,0,0
03-14-2020,0,0,0
03-13-2020,0,0,0
03-12-2020,0,0,0
03-11-2020,0,0,0
03-10-2020,0,0,0
03-09-2020,0,0,0
03-08-2020,0,0,0
03-07-2020,0,0,0
03-06-2020,0,0,0
03-05-2020,0,0,0
03-04-2020,0,0,0
03-03-2020,0,0,0
03-02-2020,0,0,0
03-01-2020,0,0,0
02-29-2020,0,0,0
02-28-2020,0,0,0
02-27-2020,0,0,0
02-26-2020,0,0,0
02-25-2020,0,0,0
02-24-2020,0,0,0
02-23-2020,0,0,0
02-22-2020,0,0,0
02-21-2020,0,0,0
02-20-2020,0,0,0
02-19-2020,0,0,0
02-18-2020,0,0,0
02-17-2020,0,0,0
02-16-2020,0,0,0
02-15-2020,0,0,0
02-14-2020,0,0,0
02-13-2020,0,0,0
02-12-2020,0,0,0
02-11-2020,0,0,0
02-10-2020,0,0,0
02-09-2020,0,0,0
02-08-2020,0,0,0
02-07-2020,0,0,0
02-06-2020,0,0,0
02-05-2020,0,0,0
02-04-2020,0,0,0
02-03-2020,0,0,0
02-02-2020,0,0,0
02-01-2020,0,0,0
01-31-2020,0,0,0
01-30-2020,0,0,0
01-29-2020,0,0,0
01-28-2020,0,0,0
01-27-2020,0,0,0
01-26-2020,0,0,0
01-25-2020,0,0,0
01-24-2020,0,0,0
01-23-2020,0,0,0
01-22-2020,0,0,0
