,confirmed_cases,total_dead,recovered
06-05-2020,485,13,240
06-04-2020,465,13,239
06-03-2020,452,13,236
06-02-2020,445,13,230
06-01-2020,443,13,215
05-31-2020,442,13,211
05-30-2020,433,13,206
05-29-2020,428,13,202
05-28-2020,422,13,197
05-27-2020,395,13,183
05-26-2020,391,13,177
05-25-2020,386,13,161
05-24-2020,381,12,141
05-23-2020,373,12,133
05-22-2020,363,12,121
05-21-2020,354,12,118
05-20-2020,340,12,110
05-19-2020,338,12,107
05-18-2020,330,12,106
05-17-2020,301,11,104
05-16-2020,298,11,99
05-15-2020,263,11,96
05-14-2020,238,11,96
05-13-2020,219,11,96
05-12-2020,199,11,92
05-11-2020,181,11,89
05-10-2020,174,11,89
05-09-2020,153,10,87
05-08-2020,145,10,85
05-07-2020,135,9,85
05-06-2020,128,9,77
05-05-2020,128,9,74
05-04-2020,126,9,74
05-03-2020,124,9,67
05-02-2020,123,9,66
05-01-2020,123,9,66
04-30-2020,116,9,65
04-29-2020,109,7,64
04-28-2020,99,6,63
04-27-2020,98,6,62
04-26-2020,98,6,62
04-25-2020,96,6,62
04-24-2020,90,6,59
04-23-2020,88,6,59
04-22-2020,88,6,56
04-21-2020,86,6,56
04-20-2020,84,6,53
04-19-2020,84,5,52
04-18-2020,84,5,49
04-17-2020,83,5,48
04-16-2020,81,5,45
04-15-2020,81,3,35
04-14-2020,77,3,32
04-13-2020,77,3,29
04-12-2020,76,3,29
04-11-2020,76,3,25
04-10-2020,76,3,25
04-09-2020,73,3,24
04-08-2020,70,3,23
04-07-2020,65,3,23
04-06-2020,58,3,23
04-05-2020,44,3,20
04-04-2020,41,3,17
04-03-2020,40,3,17
04-02-2020,39,2,17
04-01-2020,36,2,10
03-31-2020,34,1,10
03-30-2020,30,1,1
03-29-2020,25,1,1
03-28-2020,25,1,1
03-27-2020,25,1,1
03-26-2020,23,0,1
03-25-2020,23,0,1
03-24-2020,20,0,1
03-23-2020,18,0,0
03-22-2020,16,0,0
03-21-2020,16,0,1
03-20-2020,9,0,1
03-19-2020,1,0,0
03-18-2020,1,0,0
03-17-2020,1,0,0
03-16-2020,1,0,0
03-15-2020,1,0,0
03-14-2020,1,0,0
03-13-2020,1,0,0
03-12-2020,1,0,0
03-11-2020,1,0,0
03-10-2020,1,0,0
03-09-2020,1,0,0
03-08-2020,1,0,0
03-07-2020,1,0,0
03-06-2020,1,0,0
03-05-2020,0,0,0
03-04-2020,0,0,0
03-03-2020,0,0,0
03-02-2020,0,0,0
03-01-2020,0,0,0
02-29-2020,0,0,0
02-28-2020,0,0,0
02-27-2020,0,0,0
02-26-2020,0,0,0
02-25-2020,0,0,0
02-24-2020,0,0,0
02-23-2020,0,0,0
02-22-2020,0,0,0
02-21-2020,0,0,0
02-20-2020,0,0,0
02-19-2020,0,0,0
02-18-2020,0,0,0
02-17-2020,0,0,0
02-16-2020,0,0,0
02-15-2020,0,0,0
02-14-2020,0,0,0
02-13-2020,0,0,0
02-12-2020,0,0,0
02-11-2020,0,0,0
02-10-2020,0,0,0
02-09-2020,0,0,0
02-08-2020,0,0,0
02-07-2020,0,0,0
02-06-2020,0,0,0
02-05-2020,0,0,0
02-04-2020,0,0,0
02-03-2020,0,0,0
02-02-2020,0,0,0
02-01-2020,0,0,0
01-31-2020,0,0,0
01-30-2020,0,0,0
01-29-2020,0,0,0
01-28-2020,0,0,0
01-27-2020,0,0,0
01-26-2020,0,0,0
01-25-2020,0,0,0
01-24-2020,0,0,0
01-23-2020,0,0,0
01-22-2020,0,0,0
