,confirmed_cases,total_dead,recovered
06-01-2020,790,66,539
05-31-2020,778,65,491
05-30-2020,759,65,470
05-29-2020,759,65,444
05-28-2020,726,65,413
05-27-2020,715,64,359
05-26-2020,700,62,303
05-25-2020,687,61,244
05-24-2020,675,60,215
05-23-2020,648,60,204
05-22-2020,611,58,196
05-21-2020,588,58,186
05-20-2020,565,57,177
05-19-2020,545,56,139
05-18-2020,519,53,117
05-17-2020,503,53,117
05-16-2020,474,50,111
05-15-2020,428,48,88
05-14-2020,399,46,83
05-13-2020,372,42,78
05-12-2020,357,40,76
05-11-2020,322,31,53
05-10-2020,322,31,53
05-09-2020,322,31,53
05-08-2020,260,28,50
05-07-2020,253,27,50
05-06-2020,170,17,43
05-05-2020,170,17,43
05-04-2020,117,10,39
05-03-2020,117,10,39
05-02-2020,117,10,39
05-01-2020,73,5,33
04-30-2020,73,5,33
04-29-2020,52,2,19
04-28-2020,52,2,19
04-27-2020,46,0,15
04-26-2020,46,0,15
04-25-2020,46,0,15
04-24-2020,40,0,8
04-23-2020,33,0,8
04-22-2020,33,0,8
04-21-2020,33,0,8
04-20-2020,33,0,8
04-19-2020,33,0,8
04-18-2020,33,0,8
04-17-2020,27,0,5
04-16-2020,27,0,5
04-15-2020,23,0,2
04-14-2020,23,0,2
04-13-2020,23,0,2
04-12-2020,18,0,2
04-11-2020,11,0,2
04-10-2020,11,0,2
04-09-2020,11,0,2
04-08-2020,10,0,2
04-07-2020,10,0,2
04-06-2020,9,0,0
04-05-2020,9,0,0
04-04-2020,9,0,0
04-03-2020,8,0,0
04-02-2020,8,0,0
04-01-2020,7,0,0
03-31-2020,7,0,0
03-30-2020,5,0,0
03-29-2020,3,0,0
03-28-2020,3,0,0
03-27-2020,3,0,0
03-26-2020,3,0,0
03-25-2020,3,0,0
03-24-2020,3,0,0
03-23-2020,1,0,0
03-22-2020,1,0,0
03-21-2020,1,0,0
03-20-2020,1,0,0
03-19-2020,1,0,0
03-18-2020,0,0,0
03-17-2020,0,0,0
03-16-2020,0,0,0
03-15-2020,0,0,0
03-14-2020,0,0,0
03-13-2020,0,0,0
03-12-2020,0,0,0
03-11-2020,0,0,0
03-10-2020,0,0,0
03-09-2020,0,0,0
03-08-2020,0,0,0
03-07-2020,0,0,0
03-06-2020,0,0,0
03-05-2020,0,0,0
03-04-2020,0,0,0
03-03-2020,0,0,0
03-02-2020,0,0,0
03-01-2020,0,0,0
02-29-2020,0,0,0
02-28-2020,0,0,0
02-27-2020,0,0,0
02-26-2020,0,0,0
02-25-2020,0,0,0
02-24-2020,0,0,0
02-23-2020,0,0,0
02-22-2020,0,0,0
02-21-2020,0,0,0
02-20-2020,0,0,0
02-19-2020,0,0,0
02-18-2020,0,0,0
02-17-2020,0,0,0
02-16-2020,0,0,0
02-15-2020,0,0,0
02-14-2020,0,0,0
02-13-2020,0,0,0
02-12-2020,0,0,0
02-11-2020,0,0,0
02-10-2020,0,0,0
02-09-2020,0,0,0
02-08-2020,0,0,0
02-07-2020,0,0,0
02-06-2020,0,0,0
02-05-2020,0,0,0
02-04-2020,0,0,0
02-03-2020,0,0,0
02-02-2020,0,0,0
02-01-2020,0,0,0
01-31-2020,0,0,0
01-30-2020,0,0,0
01-29-2020,0,0,0
01-28-2020,0,0,0
01-27-2020,0,0,0
01-26-2020,0,0,0
01-25-2020,0,0,0
01-24-2020,0,0,0
01-23-2020,0,0,0
01-22-2020,0,0,0
