,confirmed_cases,total_dead,recovered
06-14-2020,8681,212,4836
06-13-2020,8681,212,4836
06-12-2020,8681,212,4836
06-11-2020,8681,212,4836
06-10-2020,8681,212,4836
06-09-2020,8312,212,4794
06-08-2020,8060,212,4748
06-07-2020,7908,212,4735
06-06-2020,7599,212,4587
06-05-2020,7392,205,4575
06-04-2020,6789,203,3705
06-03-2020,6585,200,3676
06-02-2020,6585,200,3676
06-01-2020,6397,199,3629
05-31-2020,5904,191,3568
05-30-2020,5904,191,3568
05-29-2020,5436,177,3326
05-28-2020,5436,175,1996
05-27-2020,5436,175,1996
05-26-2020,5436,175,1996
05-25-2020,4890,165,1865
05-24-2020,4890,165,1865
05-23-2020,4400,159,1822
05-22-2020,4400,159,1822
05-21-2020,4288,156,1808
05-20-2020,3733,146,1595
05-19-2020,3529,140,1567
05-18-2020,3529,140,1567
05-17-2020,3105,140,1567
05-16-2020,3105,140,1567
05-15-2020,3105,140,1567
05-14-2020,2954,139,1553
05-13-2020,2800,136,1543
05-12-2020,2689,125,1524
05-11-2020,2689,125,1524
05-10-2020,2579,114,1465
05-09-2020,2274,108,1232
05-08-2020,2267,108,1002
05-07-2020,2267,108,1002
05-06-2020,2265,108,1000
05-05-2020,2104,64,953
05-04-2020,2104,64,953
05-03-2020,2077,64,953
05-02-2020,2077,64,953
05-01-2020,1832,61,934
04-30-2020,1832,61,934
04-29-2020,1832,61,934
04-28-2020,1705,58,915
04-27-2020,1705,58,805
04-26-2020,1621,56,786
04-25-2020,1518,53,697
04-24-2020,1430,43,668
04-23-2020,1334,43,668
04-22-2020,1163,43,397
04-21-2020,1163,43,329
04-20-2020,1163,42,305
04-19-2020,1017,42,305
04-18-2020,1017,22,177
04-17-2020,996,22,164
04-16-2020,996,22,164
04-15-2020,848,17,165
04-14-2020,848,14,130
04-13-2020,820,12,98
04-12-2020,820,12,98
04-11-2020,820,12,98
04-10-2020,820,12,98
04-09-2020,730,10,60
04-08-2020,730,10,60
04-07-2020,658,9,43
04-06-2020,658,9,17
04-05-2020,650,9,17
04-04-2020,555,9,17
04-03-2020,509,8,17
04-02-2020,306,7,10
04-01-2020,233,6,10
03-31-2020,193,6,5
03-30-2020,139,6,5
03-29-2020,139,6,5
03-28-2020,91,2,2
03-27-2020,91,2,2
03-26-2020,75,1,2
03-25-2020,75,1,2
03-24-2020,66,0,2
03-23-2020,56,0,2
03-22-2020,40,0,2
03-21-2020,27,0,0
03-20-2020,20,0,0
03-19-2020,13,0,0
03-18-2020,10,0,0
03-17-2020,10,0,0
03-16-2020,4,0,0
03-15-2020,2,0,0
03-14-2020,2,0,0
03-13-2020,2,0,0
03-12-2020,2,0,0
03-11-2020,2,0,0
03-10-2020,2,0,0
03-09-2020,2,0,0
03-08-2020,2,0,0
03-07-2020,1,0,0
03-06-2020,1,0,0
03-05-2020,0,0,0
03-04-2020,0,0,0
03-03-2020,0,0,0
03-02-2020,0,0,0
03-01-2020,0,0,0
02-29-2020,0,0,0
02-28-2020,0,0,0
02-27-2020,0,0,0
02-26-2020,0,0,0
02-25-2020,0,0,0
02-24-2020,0,0,0
02-23-2020,0,0,0
02-22-2020,0,0,0
02-21-2020,0,0,0
02-20-2020,0,0,0
02-19-2020,0,0,0
02-18-2020,0,0,0
02-17-2020,0,0,0
02-16-2020,0,0,0
02-15-2020,0,0,0
02-14-2020,0,0,0
02-13-2020,0,0,0
02-12-2020,0,0,0
02-11-2020,0,0,0
02-10-2020,0,0,0
02-09-2020,0,0,0
02-08-2020,0,0,0
02-07-2020,0,0,0
02-06-2020,0,0,0
02-05-2020,0,0,0
02-04-2020,0,0,0
02-03-2020,0,0,0
02-02-2020,0,0,0
02-01-2020,0,0,0
01-31-2020,0,0,0
01-30-2020,0,0,0
01-29-2020,0,0,0
01-28-2020,0,0,0
01-27-2020,0,0,0
01-26-2020,0,0,0
01-25-2020,0,0,0
01-24-2020,0,0,0
01-23-2020,0,0,0
01-22-2020,0,0,0
