,confirmed_cases,total_dead,recovered
06-15-2020,1306,12,200
06-14-2020,1306,12,200
06-13-2020,1306,12,200
06-12-2020,1306,12,200
06-11-2020,1306,12,200
06-10-2020,1306,12,200
06-09-2020,1306,12,200
06-08-2020,1306,12,200
06-07-2020,1306,12,200
06-06-2020,1306,12,200
06-05-2020,1306,12,200
06-04-2020,1306,12,200
06-03-2020,1306,12,200
06-02-2020,1306,12,200
06-01-2020,1306,12,200
05-31-2020,1306,12,200
05-30-2020,1306,12,200
05-29-2020,1306,12,200
05-28-2020,1043,12,165
05-27-2020,1043,12,165
05-26-2020,1043,12,165
05-25-2020,1043,12,165
05-24-2020,960,11,165
05-23-2020,960,11,165
05-22-2020,960,11,165
05-21-2020,903,10,22
05-20-2020,890,7,22
05-19-2020,825,7,22
05-18-2020,719,7,22
05-17-2020,594,7,22
05-16-2020,594,7,22
05-15-2020,594,7,22
05-14-2020,583,7,13
05-13-2020,522,6,13
05-12-2020,439,4,13
05-11-2020,439,4,13
05-10-2020,439,4,13
05-09-2020,439,4,13
05-08-2020,439,4,13
05-07-2020,439,4,13
05-06-2020,439,4,13
05-05-2020,315,3,13
05-04-2020,315,3,13
05-03-2020,315,1,9
05-02-2020,315,1,9
05-01-2020,315,1,9
04-30-2020,315,1,9
04-29-2020,315,1,9
04-28-2020,315,1,9
04-27-2020,258,1,9
04-26-2020,258,1,8
04-25-2020,258,1,7
04-24-2020,214,1,7
04-23-2020,84,1,7
04-22-2020,84,1,7
04-21-2020,83,0,7
04-20-2020,79,0,7
04-19-2020,79,0,4
04-18-2020,79,0,4
04-17-2020,79,0,4
04-16-2020,51,0,4
04-15-2020,51,0,4
04-14-2020,41,0,4
04-13-2020,21,0,4
04-12-2020,21,0,3
04-11-2020,18,0,3
04-10-2020,18,0,3
04-09-2020,18,0,3
04-08-2020,18,0,3
04-07-2020,16,0,3
04-06-2020,16,0,3
04-05-2020,16,0,1
04-04-2020,16,0,1
04-03-2020,16,0,1
04-02-2020,15,0,1
04-01-2020,15,0,1
03-31-2020,12,0,1
03-30-2020,12,0,0
03-29-2020,12,0,0
03-28-2020,12,0,0
03-27-2020,12,0,0
03-26-2020,12,0,0
03-25-2020,9,0,0
03-24-2020,9,0,0
03-23-2020,9,0,0
03-22-2020,6,0,0
03-21-2020,6,0,0
03-20-2020,6,0,0
03-19-2020,6,0,0
03-18-2020,4,0,0
03-17-2020,1,0,0
03-16-2020,1,0,0
03-15-2020,1,0,0
03-14-2020,0,0,0
03-13-2020,0,0,0
03-12-2020,0,0,0
03-11-2020,0,0,0
03-10-2020,0,0,0
03-09-2020,0,0,0
03-08-2020,0,0,0
03-07-2020,0,0,0
03-06-2020,0,0,0
03-05-2020,0,0,0
03-04-2020,0,0,0
03-03-2020,0,0,0
03-02-2020,0,0,0
03-01-2020,0,0,0
02-29-2020,0,0,0
02-28-2020,0,0,0
02-27-2020,0,0,0
02-26-2020,0,0,0
02-25-2020,0,0,0
02-24-2020,0,0,0
02-23-2020,0,0,0
02-22-2020,0,0,0
02-21-2020,0,0,0
02-20-2020,0,0,0
02-19-2020,0,0,0
02-18-2020,0,0,0
02-17-2020,0,0,0
02-16-2020,0,0,0
02-15-2020,0,0,0
02-14-2020,0,0,0
02-13-2020,0,0,0
02-12-2020,0,0,0
02-11-2020,0,0,0
02-10-2020,0,0,0
02-09-2020,0,0,0
02-08-2020,0,0,0
02-07-2020,0,0,0
02-06-2020,0,0,0
02-05-2020,0,0,0
02-04-2020,0,0,0
02-03-2020,0,0,0
02-02-2020,0,0,0
02-01-2020,0,0,0
01-31-2020,0,0,0
01-30-2020,0,0,0
01-29-2020,0,0,0
01-28-2020,0,0,0
01-27-2020,0,0,0
01-26-2020,0,0,0
01-25-2020,0,0,0
01-24-2020,0,0,0
01-23-2020,0,0,0
01-22-2020,0,0,0
