,confirmed_cases,total_dead,recovered
06-14-2020,7220,459,2610
06-13-2020,7007,447,2556
06-12-2020,6879,433,2416
06-11-2020,6730,413,2278
06-10-2020,6582,401,2202
06-09-2020,6427,389,2127
06-08-2020,6242,372,2059
06-07-2020,6081,359,2014
06-06-2020,6081,359,2014
06-05-2020,5865,347,1924
06-04-2020,5714,333,1825
06-03-2020,5499,314,1711
06-02-2020,5310,307,1625
06-01-2020,5173,298,1522
05-31-2020,5026,286,1423
05-30-2020,4800,262,1272
05-29-2020,4521,233,816
05-28-2020,4346,195,749
05-27-2020,4346,195,749
05-26-2020,3976,170,503
05-25-2020,3976,170,503
05-24-2020,3820,165,458
05-23-2020,3628,146,424
05-22-2020,3378,137,372
05-21-2020,3138,121,309
05-20-2020,2728,111,286
05-19-2020,2728,111,286
05-18-2020,2591,105,247
05-17-2020,2289,97,222
05-16-2020,2289,97,222
05-15-2020,1964,91,205
05-14-2020,1818,90,198
05-13-2020,1818,90,198
05-12-2020,1661,80,173
05-11-2020,1526,74,162
05-10-2020,1365,70,149
05-09-2020,1164,64,119
05-08-2020,1111,59,102
05-07-2020,930,52,92
05-06-2020,852,49,80
05-05-2020,778,45,70
05-04-2020,678,41,61
05-03-2020,592,41,52
05-02-2020,592,41,52
05-01-2020,533,36,46
04-30-2020,442,31,39
04-29-2020,375,28,32
04-28-2020,318,25,31
04-27-2020,275,22,21
04-26-2020,237,21,20
04-25-2020,213,17,19
04-24-2020,174,16,14
04-23-2020,174,16,14
04-22-2020,140,13,12
04-21-2020,107,12,8
04-20-2020,107,12,8
04-19-2020,66,10,6
04-18-2020,66,10,6
04-17-2020,33,6,4
04-16-2020,32,5,4
04-15-2020,32,5,4
04-14-2020,32,5,4
04-13-2020,29,4,4
04-12-2020,19,2,2
04-11-2020,19,2,2
04-10-2020,17,2,2
04-09-2020,15,2,2
04-08-2020,14,2,2
04-07-2020,14,2,2
04-06-2020,12,2,2
04-05-2020,12,2,2
04-04-2020,10,2,2
04-03-2020,10,2,2
04-02-2020,8,2,2
04-01-2020,7,2,2
03-31-2020,7,2,1
03-30-2020,6,2,0
03-29-2020,6,1,0
03-28-2020,5,1,0
03-27-2020,3,1,0
03-26-2020,3,1,0
03-25-2020,3,1,0
03-24-2020,3,1,0
03-23-2020,2,1,0
03-22-2020,2,1,0
03-21-2020,2,1,0
03-20-2020,2,1,0
03-19-2020,2,1,0
03-18-2020,2,1,0
03-17-2020,1,1,0
03-16-2020,1,1,0
03-15-2020,1,1,0
03-14-2020,1,1,0
03-13-2020,1,1,0
03-12-2020,0,0,0
03-11-2020,0,0,0
03-10-2020,0,0,0
03-09-2020,0,0,0
03-08-2020,0,0,0
03-07-2020,0,0,0
03-06-2020,0,0,0
03-05-2020,0,0,0
03-04-2020,0,0,0
03-03-2020,0,0,0
03-02-2020,0,0,0
03-01-2020,0,0,0
02-29-2020,0,0,0
02-28-2020,0,0,0
02-27-2020,0,0,0
02-26-2020,0,0,0
02-25-2020,0,0,0
02-24-2020,0,0,0
02-23-2020,0,0,0
02-22-2020,0,0,0
02-21-2020,0,0,0
02-20-2020,0,0,0
02-19-2020,0,0,0
02-18-2020,0,0,0
02-17-2020,0,0,0
02-16-2020,0,0,0
02-15-2020,0,0,0
02-14-2020,0,0,0
02-13-2020,0,0,0
02-12-2020,0,0,0
02-11-2020,0,0,0
02-10-2020,0,0,0
02-09-2020,0,0,0
02-08-2020,0,0,0
02-07-2020,0,0,0
02-06-2020,0,0,0
02-05-2020,0,0,0
02-04-2020,0,0,0
02-03-2020,0,0,0
02-02-2020,0,0,0
02-01-2020,0,0,0
01-31-2020,0,0,0
01-30-2020,0,0,0
01-29-2020,0,0,0
01-28-2020,0,0,0
01-27-2020,0,0,0
01-26-2020,0,0,0
01-25-2020,0,0,0
01-24-2020,0,0,0
01-23-2020,0,0,0
01-22-2020,0,0,0
