,confirmed_cases,total_dead,recovered
06-15-2020,498,33,221
06-14-2020,458,32,219
06-13-2020,446,32,214
06-12-2020,421,32,210
06-11-2020,410,31,206
06-10-2020,397,31,200
06-09-2020,383,31,199
06-08-2020,370,30,195
06-07-2020,359,30,194
06-06-2020,345,30,185
06-05-2020,334,30,176
06-04-2020,321,28,175
06-03-2020,316,28,169
06-02-2020,311,28,167
06-01-2020,296,27,159
05-31-2020,288,27,157
05-30-2020,280,27,148
05-29-2020,273,27,146
05-28-2020,269,27,144
05-27-2020,266,27,144
05-26-2020,266,26,144
05-25-2020,265,26,141
05-24-2020,265,26,139
05-23-2020,255,26,136
05-22-2020,249,24,136
05-21-2020,240,23,131
05-20-2020,238,23,128
05-19-2020,233,23,125
05-18-2020,229,22,123
05-17-2020,226,21,120
05-16-2020,223,20,116
05-15-2020,219,20,108
05-14-2020,215,20,105
05-13-2020,213,20,101
05-12-2020,211,20,85
05-11-2020,211,20,85
05-10-2020,199,20,79
05-09-2020,199,20,79
05-08-2020,199,20,79
05-07-2020,189,20,79
05-06-2020,178,20,75
05-05-2020,170,20,58
05-04-2020,166,18,58
05-03-2020,158,18,58
05-02-2020,154,18,48
05-01-2020,152,18,45
04-30-2020,141,16,45
04-29-2020,141,16,45
04-28-2020,141,16,45
04-27-2020,124,12,25
04-26-2020,124,12,25
04-25-2020,120,11,25
04-24-2020,117,8,25
04-23-2020,101,8,20
04-22-2020,101,8,20
04-21-2020,101,8,7
04-20-2020,99,8,7
04-19-2020,91,8,7
04-18-2020,76,7,7
04-17-2020,76,7,7
04-16-2020,59,6,4
04-15-2020,59,6,4
04-14-2020,59,6,4
04-13-2020,59,6,4
04-12-2020,50,5,3
04-11-2020,48,5,3
04-10-2020,37,5,3
04-09-2020,31,4,3
04-08-2020,31,4,3
04-07-2020,14,3,3
04-06-2020,14,3,3
04-05-2020,13,3,3
04-04-2020,10,1,3
04-03-2020,7,0,0
04-02-2020,6,0,0
04-01-2020,6,0,0
03-31-2020,3,0,0
03-30-2020,3,0,0
03-29-2020,3,0,0
03-28-2020,3,0,0
03-27-2020,3,0,0
03-26-2020,3,0,0
03-25-2020,3,0,0
03-24-2020,3,0,0
03-23-2020,3,0,0
03-22-2020,3,0,0
03-21-2020,3,0,0
03-20-2020,2,0,0
03-19-2020,2,0,0
03-18-2020,2,0,0
03-17-2020,1,0,0
03-16-2020,1,0,0
03-15-2020,0,0,0
03-14-2020,0,0,0
03-13-2020,0,0,0
03-12-2020,0,0,0
03-11-2020,0,0,0
03-10-2020,0,0,0
03-09-2020,0,0,0
03-08-2020,0,0,0
03-07-2020,0,0,0
03-06-2020,0,0,0
03-05-2020,0,0,0
03-04-2020,0,0,0
03-03-2020,0,0,0
03-02-2020,0,0,0
03-01-2020,0,0,0
02-29-2020,0,0,0
02-28-2020,0,0,0
02-27-2020,0,0,0
02-26-2020,0,0,0
02-25-2020,0,0,0
02-24-2020,0,0,0
02-23-2020,0,0,0
02-22-2020,0,0,0
02-21-2020,0,0,0
02-20-2020,0,0,0
02-19-2020,0,0,0
02-18-2020,0,0,0
02-17-2020,0,0,0
02-16-2020,0,0,0
02-15-2020,0,0,0
02-14-2020,0,0,0
02-13-2020,0,0,0
02-12-2020,0,0,0
02-11-2020,0,0,0
02-10-2020,0,0,0
02-09-2020,0,0,0
02-08-2020,0,0,0
02-07-2020,0,0,0
02-06-2020,0,0,0
02-05-2020,0,0,0
02-04-2020,0,0,0
02-03-2020,0,0,0
02-02-2020,0,0,0
02-01-2020,0,0,0
01-31-2020,0,0,0
01-30-2020,0,0,0
01-29-2020,0,0,0
01-28-2020,0,0,0
01-27-2020,0,0,0
01-26-2020,0,0,0
01-25-2020,0,0,0
01-24-2020,0,0,0
01-23-2020,0,0,0
01-22-2020,0,0,0
